------------------------------------------------------------------------
Running the following command: abaqus python solar-sail\1119_allframe.py
------------------------------------------------------------------------
Analyzing ODB: postbuckle.odb
Processing 63 frames...

Analysis Complete.
Final Thrust Magnitude: 1.778548
Final Efficiency:       92.33 %
Final Flatness:         0.999941
Time: 0.0000 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.1000 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.2000 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.3500 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.4062 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.4115 | Thrust: 1.778768 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.4135 | Thrust: 1.778767 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.4165 | Thrust: 1.778767 | Efficiency: 92.34 % | Flatness: 1.000000
Time: 0.4209 | Thrust: 1.778766 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4276 | Thrust: 1.778764 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4282 | Thrust: 1.778764 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4285 | Thrust: 1.778764 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4288 | Thrust: 1.778764 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4293 | Thrust: 1.778763 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4301 | Thrust: 1.778763 | Efficiency: 92.34 % | Flatness: 0.999999
Time: 0.4313 | Thrust: 1.778762 | Efficiency: 92.34 % | Flatness: 0.999998
Time: 0.4331 | Thrust: 1.778760 | Efficiency: 92.34 % | Flatness: 0.999998
Time: 0.4358 | Thrust: 1.778758 | Efficiency: 92.34 % | Flatness: 0.999997
Time: 0.4398 | Thrust: 1.778755 | Efficiency: 92.34 % | Flatness: 0.999997
Time: 0.4458 | Thrust: 1.778750 | Efficiency: 92.34 % | Flatness: 0.999995
Time: 0.4548 | Thrust: 1.778743 | Efficiency: 92.34 % | Flatness: 0.999993
Time: 0.4683 | Thrust: 1.778729 | Efficiency: 92.34 % | Flatness: 0.999990
Time: 0.4696 | Thrust: 1.778729 | Efficiency: 92.34 % | Flatness: 0.999990
Time: 0.4715 | Thrust: 1.778728 | Efficiency: 92.34 % | Flatness: 0.999989
Time: 0.4744 | Thrust: 1.778727 | Efficiency: 92.34 % | Flatness: 0.999989
Time: 0.4786 | Thrust: 1.778724 | Efficiency: 92.34 % | Flatness: 0.999988
